,Genre,Number of Books
796,Commerce,20
797,Middle Eastern,262
798,"Other Religions, Practices & Sacred Texts",11
799,Dancers,30
800,Classical,67
801,Martial Arts,150
802,General & Reference,75
803,Greek,46
804,Folklore & Mythology,309
805,Relativity,46
806,Biotechnology,33
807,Biology & Life Sciences,89
808,American Literature,220
809,Aging,59
810,Acting & Auditioning,72
811,Civil Rights & Liberties,146
812,Worship & Devotion,199
813,Spiritual Growth,515
814,Healing,88
815,Holistic,19
816,Mysticism,188
817,Weather,174
818,Alchemy,10
819,Superhero,59
820,Educational & Nonfiction,81
821,"Diseases, Illnesses & Injuries",33
822,Disabilities & Special Needs,14
823,Pathologies,202
824,Neuropsychology,147
825,Marriage & Long-Term Relationships,25
826,Difficult Discussions,16
827,Cakes,63
828,Trivia & Fun Facts,43
829,Graphic Design,136
830,Art Books,14
831,Graphic Novels,730
832,New Business Enterprises,55
833,"Mice, Hamsters, Guinea Pigs & Squirrels",307
834,Sleep,358
835,Counting,110
836,Farm Life,136
837,Colors,81
838,Ducks & Other Waterfowl,96
839,Moving,117
840,"Cars, Trains & Things That Go",60
841,Illness,124
842,Dance,150
843,Heart Disease,8
844,Non-religious,124
845,Time,33
846,Elephants,85
847,New Baby,119
848,Frogs & Toads,68
849,Ancient Civilizations,163
850,Classroom Supplies,7
851,Fish,58
852,Hispanic & Latino,111
853,Social Skills,274
854,Manners,142
855,Imagination & Play,20
856,Dinosaurs,162
857,Bugs & Spiders,162
858,Baby Animals,29
859,Adoption,164
860,Personal Hygiene,107
861,Reading & Writing,77
862,Rotors,1
863,History & Surveys,277
864,C & C++ Windows Programming,33
865,Financial,92
866,Telecommunications & Sensors,58
867,Drama,128
868,Christian Living,638
869,Introduction,138
870,Direction & Production,161
871,Movie Directors,109
872,Women & Business,45
873,World War I,119
874,Museum Studies & Museology,13
875,Cultural Policy,10
876,Nature & Ecology,112
877,Mineralogy,6
878,Geology,38
879,Rocks & Minerals,22
880,Christology,81
881,Church History,274
882,Political Ideologies,96
883,Democracy,116
884,Hacking,32
885,Crop Science,6
886,Geography,65
887,American Revolution,62
888,Revolution & Founding,117
889,Colonial Period,82
890,Art Therapy & Relaxation,17
891,Religious & Inspirational,11
892,"Collections, Catalogs & Exhibitions",189
893,Women Authors,227
894,Art & Architecture,29
895,Holidays & Celebrations,99
896,Screenplays,40
897,Beat Generation,22
898,Movie Tie-Ins,128
899,England,306
900,Nuclear Physics,19
901,Racing,30
902,Executive Branch,123
903,Presidents & Heads of State,77
904,U.K. Prime Ministers,10
905,Dictionaries & Thesauruses,48
906,Oceans & Seas,39
907,Natural Disasters,54
908,Fisheries & Aquaculture,5
909,Sleep Disorders,17
910,Urology,4
911,Literary Criticism & Collections,115
912,Pulp Nonfiction,8
913,Playwriting,48
914,Electricity & Electronics,4
915,Writing,131
916,Call of Cthulhu,4
917,Gaming,42
918,Strategy Guides,26
919,Teenagers,84
920,General Broadcasting,70
921,Games & Strategy Guides,56
922,Calculus,25
923,Collections,26
924,Anthologies & Collections,57
925,Mashups,31
926,Aviation,85
927,Miniatures,7
928,Models,10
929,Communism & Socialism,125
930,Heavy Metal,38
931,Rock,488
932,LGBT Issues,70
933,Chemical,12
934,Tibet,9
935,Swimming,11
936,Ancient,185
937,Booksellers & Bookselling,80
938,Metaphysics,98
939,Tao Te Ching,15
940,New Age,32
941,Transformational,3
942,Near-Death Experiences,30
943,Eschatology,48
944,Energy Healing,38
945,Cognitive,177
946,Counseling & Psychology,38
947,Dark Humor,126
948,Encyclopedias,53
949,Men,53
950,Gender Studies,217
951,Knitting,83
952,Amish & Mennonite,131
953,Christian Fiction,140
954,Amish,178
955,Devotionals,233
956,Civil War Period,8
957,Prehistory,35
958,Eastern,123
959,Management & Leadership,41
960,Mexican,17
961,Dramas & Plays,221
962,Country Life,80
963,Folding Knives,1
964,Political Economy,111
965,Macroeconomics,33
966,Places,20
967,Love Poems,93
968,Themes & Styles,42
969,Limericks & Humorous Verse,36
970,Movements,20
971,Pain Medicine,14
972,Judaism,99
973,Counseling,119
974,Violence in Society,107
975,Class,104
976,Mid Atlantic,138
977,Commentary & Opinion,208
978,Image Comics,335
979,Zombies,94
980,Drilling Procedures,3
981,Norse & Viking,28
982,Nanostructures,6
983,Tudor,73
984,Scientology,17
985,Scandinavian,50
986,Kenya,19
987,West Africa,2
988,Jobs & Careers,128
989,"Writing, Research & Publishing Guides",26
990,Discrimination & Racism,187
991,Spies,50
992,Collections & Anthologies,472
993,Series,390
994,African-American,307
995,Nursery Rhymes,58
996,Colonial & Revolutionary,39
997,Valentine's Day,70
998,Cartoons,57
999,Comic Strips & Cartoons,45
1000,City & Town Life,59
1001,Peer Pressure,136
1002,Monographs,61
1003,Individual Photographers,128
1004,Photography,117
1005,Graffiti & Street Art,12
1006,"Collections, Catalogues & Exhibitions",110
